19才 - スガシカオ                                                     xxxHolic_OP  
1年生はフレッシュだねぇ - 神前暁                                      らき☆すた DVD Vol.08 限定版 特典CD  
A shadow-梶浦由記                                        TBS系アニメーション「PandoraHearts」オリジナルサウンドトラック2 
Another Heaven - いとうかなこ                                         スカイクラッドの観測者  
Ask DNA-菅野よう子                                         COWBOY BEBOP Knockin'on heaven's door O.S.T. SEATBELTS Ask DNA
Believe me - 阿保剛                                                   STEINS;GATE Original Soundtrack+Radio CD(仮)  
Bloom of Youth - Key Sounds Label                                     Kud Wafter OST  
brave heart - 宮崎歩                                                  數碼寶貝進化曲  
Butter-Fly - 和田光司                                                 數碼寶貝第一部_OP  
CARAMELLDANSEN(ウッーウッーウマウマ(゜∀゜))(Speedycake Remix) - 歌ってみたCDで聞いてみて。～ニコニコ動画せれくちょん～  
Cherry blossoms - Little Wing                                         殻ノ少女 オリジナルサウンドトラック「Azure」  
Continued Story - 黒石ひとみ                                          コードギアス 反逆のルルーシュR2 O.S.T.2  
Credens justitiam-梶浦由記                                         魔法少女まどか☆マギカ オリジナルサウンドトラックVol.1
Cycle - 阿保剛                                                        STEINS;GATE Original Soundtrack+Radio CD(仮)  
DAN DAN 心魅かれてく - FIELD OF VIEW                                  龙珠GT_OP  
end of refrain ～小さな始まり～-詩月カオリ           I've Sound 10th Anniversary 「Departed to the future」Special CD BOX
Fields of hope - 田中理恵                                             機動戦士ガンダムSEED DESTINY ORIGINAL SOUNDTRACK I  
FLY ME TO THE MOON - CLAIRE                                           残酷な天使のテーゼ / FLY ME TO THE MOON  
happiness of marionette - dai                                         海猫鸣泣之时  
Harmonies＊ - 時乃&律子                                               不公正抽签TV_ED  
I wish - AiM                                                          数码宝贝第一部_ED1  
I.N.G - 日本ACG                                                       枪械少女_OP  
If I were a Bird - 黒石ひとみ                                         コードギアス 反逆のルルーシュR2 O.S.T.   
It's only the fairy tale - 宮村優子                                   舞-HiME オリジナルサウンドトラック VOL.1  
It's the only NEET thing to do - 岩崎琢                               TVアニメ「神様のメモ帳」オリジナルサウンドトラック  
Jumping!! - Rhodanthe*                                                黄金拼图_OP  
Karma - 阿保剛                                                        Ever17 ~the out of infinity~ Sound Collection  
keep on - AiM                                                         数码宝贝第一部_ED2  
